|continent    |date      |cases_per_million|countries_in_continent|
|South America|2023-08-16|156,975.2605531805|14                    |
|             |2023-08-16|76,051.8558790372 |12                    |
|Asia         |2023-08-16|63,454.7928485573 |49                    |
|Africa       |2023-08-16|9,191.1401263502  |57                    |
|Oceania      |2023-08-17|320,308.9941769679|24                    |
|Europe       |2023-08-17|307,038.6320855804|54                    |
|North America|2023-08-17|207,114.0251599314|41                    |
|South America|2023-08-17|156,975.2605531805|14                    |
|             |2023-08-17|76,051.8558790372 |12                    |
|Asia         |2023-08-17|63,454.7928485573 |49                    |
|Africa       |2023-08-17|9,191.1401263502  |57                    |
|Oceania      |2023-08-18|320,308.9941769679|24                    |
|Europe       |2023-08-18|307,038.6320855804|54                    |
|North America|2023-08-18|207,114.0251599314|41                    |
|South America|2023-08-18|156,975.2605531805|14                    |
|             |2023-08-18|76,051.8558790372 |12                    |
|Asia         |2023-08-18|63,454.7928485573 |49                    |
|Africa       |2023-08-18|9,191.1401263502  |57                    |
|Oceania      |2023-08-19|320,308.9941769679|24                    |
|Europe       |2023-08-19|307,038.6320855804|54                    |
|North America|2023-08-19|207,114.0251599314|41                    |
|South America|2023-08-19|156,975.2605531805|14                    |
|             |2023-08-19|76,051.8558790372 |12                    |
|Asia         |2023-08-19|63,454.7928485573 |49                    |
|Africa       |2023-08-19|9,191.1401263502  |57                    |
|Oceania      |2023-08-20|320,525.6068936131|24                    |
|Europe       |2023-08-20|307,082.6959024607|54                    |
|North America|2023-08-20|207,117.1568039672|41                    |
|South America|2023-08-20|156,976.9363133682|14                    |
|             |2023-08-20|76,078.0897221306 |12                    |
|Asia         |2023-08-20|63,503.5001877812 |49                    |
|Africa       |2023-08-20|9,191.4809014333  |57                    |
|Oceania      |2023-08-21|320,525.6068936131|24                    |
|Europe       |2023-08-21|307,082.6959024607|54                    |
|North America|2023-08-21|207,117.1568039672|41                    |
|South America|2023-08-21|156,976.9363133682|14                    |
|             |2023-08-21|76,078.0897221306 |12                    |
|Asia         |2023-08-21|63,503.5001877812 |49                    |
|Africa       |2023-08-21|9,191.4809014333  |57                    |
|Oceania      |2023-08-22|320,525.6068936131|24                    |
|Europe       |2023-08-22|307,082.6959024607|54                    |
|North America|2023-08-22|207,117.1568039672|41                    |
|South America|2023-08-22|156,976.9363133682|14                    |
|             |2023-08-22|76,078.0897221306 |12                    |
|Asia         |2023-08-22|63,503.5001877812 |49                    |
|Africa       |2023-08-22|9,191.4809014333  |57                    |
|Oceania      |2023-08-23|320,525.6068936131|24                    |
|Europe       |2023-08-23|307,082.6959024607|54                    |
|North America|2023-08-23|207,117.1568039672|41                    |
|South America|2023-08-23|156,976.9363133682|14                    |
|             |2023-08-23|76,078.0897221306 |12                    |
|Asia         |2023-08-23|63,503.5001877812 |49                    |
|Africa       |2023-08-23|9,191.4809014333  |57                    |
|Oceania      |2023-08-24|320,525.6068936131|24                    |
|Europe       |2023-08-24|307,082.6959024607|54                    |
|North America|2023-08-24|207,117.1568039672|41                    |
|South America|2023-08-24|156,976.9363133682|14                    |
|             |2023-08-24|76,078.0897221306 |12                    |
|Asia         |2023-08-24|63,503.5001877812 |49                    |
|Africa       |2023-08-24|9,191.4809014333  |57                    |
|Oceania      |2023-08-25|320,525.6068936131|24                    |
|Europe       |2023-08-25|307,082.6959024607|54                    |
|North America|2023-08-25|207,117.1568039672|41                    |
|South America|2023-08-25|156,976.9363133682|14                    |
|             |2023-08-25|76,078.0897221306 |12                    |
|Asia         |2023-08-25|63,503.5001877812 |49                    |
|Africa       |2023-08-25|9,191.4809014333  |57                    |
|Oceania      |2023-08-26|320,525.6068936131|24                    |
|Europe       |2023-08-26|307,082.6959024607|54                    |
|North America|2023-08-26|207,117.1568039672|41                    |
|South America|2023-08-26|156,976.9363133682|14                    |
|             |2023-08-26|76,078.0897221306 |12                    |
|Asia         |2023-08-26|63,503.5001877812 |49                    |
|Africa       |2023-08-26|9,191.4809014333  |57                    |
|Oceania      |2023-08-27|320,714.1549860435|24                    |
|Europe       |2023-08-27|307,141.1953955173|54                    |
|North America|2023-08-27|207,120.8747983756|41                    |
|South America|2023-08-27|156,978.7036451509|14                    |
|             |2023-08-27|76,111.8065580116 |12                    |
|Asia         |2023-08-27|63,566.5041277634 |49                    |
|Africa       |2023-08-27|9,191.7529605531  |57                    |
|Oceania      |2023-08-28|320,714.1549860435|24                    |
|Europe       |2023-08-28|307,141.1953955173|54                    |
|North America|2023-08-28|207,120.8747983756|41                    |
|South America|2023-08-28|156,978.7036451509|14                    |
|             |2023-08-28|76,111.8065580116 |12                    |
|Asia         |2023-08-28|63,566.5041277634 |49                    |
|Africa       |2023-08-28|9,191.7529605531  |57                    |
|Oceania      |2023-08-29|320,714.1549860435|24                    |
|Europe       |2023-08-29|307,141.1953955173|54                    |
|North America|2023-08-29|207,120.8747983756|41                    |
|South America|2023-08-29|156,978.7036451509|14                    |
|             |2023-08-29|76,111.8065580116 |12                    |
|Asia         |2023-08-29|63,566.5041277634 |49                    |
|Africa       |2023-08-29|9,191.7529605531  |57                    |
|Oceania      |2023-08-30|320,714.1549860435|24                    |
|Europe       |2023-08-30|307,141.1953955173|54                    |
|North America|2023-08-30|207,120.8747983756|41                    |
|South America|2023-08-30|156,978.7036451509|14                    |
|             |2023-08-30|76,111.8065580116 |12                    |
|Asia         |2023-08-30|63,566.5041277634 |49                    |
|Africa       |2023-08-30|9,191.7529605531  |57                    |
|Oceania      |2023-08-31|320,714.1549860435|24                    |
|Europe       |2023-08-31|307,141.1953955173|54                    |
|North America|2023-08-31|207,120.8747983756|41                    |
|South America|2023-08-31|156,978.7036451509|14                    |
|             |2023-08-31|76,111.8065580116 |12                    |
|Asia         |2023-08-31|63,566.5041277634 |49                    |
|Africa       |2023-08-31|9,191.7529605531  |57                    |
|Oceania      |2023-09-01|320,714.1549860435|24                    |
|Europe       |2023-09-01|307,141.1953955173|54                    |
|North America|2023-09-01|207,120.8747983756|41                    |
|South America|2023-09-01|156,978.7036451509|14                    |
|             |2023-09-01|76,111.8065580116 |12                    |
|Asia         |2023-09-01|63,566.5041277634 |49                    |
|Africa       |2023-09-01|9,191.7529605531  |57                    |
